label,w,w_abs
ATSC4p,-1.041479822851541,1.041479822851541
ATSC5p,1.2253584552255141,1.2253584552255141
ATSC6p,0.3236519557420635,0.3236519557420635
ATSC7p,0.010808281911765404,0.010808281911765404
ATSC8p,0.8473380390736358,0.8473380390736358
ATSC0i,1.6084930461305182,1.6084930461305182
ATSC1i,-1.0868420874776392,1.0868420874776392
ATSC2i,0.8823029800620039,0.8823029800620039
ATSC3i,-0.31353845247966344,0.31353845247966344
ATSC4i,-4.785740348064902,4.785740348064902
ATSC5i,0.36083770445589236,0.36083770445589236
ATSC6i,3.5619001861761643,3.5619001861761643
ATSC7i,4.61916086533399,4.61916086533399
ATSC8i,0.09738932286158292,0.09738932286158292
AATSC0c,3.2283705571681347,3.2283705571681347
AATSC1c,-0.6743777616928044,0.6743777616928044
AATSC2c,-2.3669765994207825,2.3669765994207825
AATSC3c,-2.5531656478429143,2.5531656478429143
AATSC4c,3.8202753569900314,3.8202753569900314
AATSC5c,1.3401768135141607,1.3401768135141607
AATSC0dv,1.2033299313313812,1.2033299313313812
AATSC1dv,0.9682314949556134,0.9682314949556134
AATSC2dv,1.6314144617063422,1.6314144617063422
AATSC3dv,1.220496439045268,1.220496439045268
AATSC4dv,0.6256214258915099,0.6256214258915099
AATSC5dv,-0.3394715751864323,0.3394715751864323
AATSC0d,-0.1128638289820704,0.1128638289820704
AATSC1d,1.6025630744934407,1.6025630744934407
AATSC2d,0.7844657508705484,0.7844657508705484
AATSC3d,-0.18122836626477767,0.18122836626477767
AATSC4d,-3.2519145070560276,3.2519145070560276
AATSC5d,3.792918226283499,3.792918226283499
AATSC0Z,0.5467549645710227,0.5467549645710227
AATSC1Z,-2.6171464255429466,2.6171464255429466
AATSC2Z,0.4005437339761355,0.4005437339761355
AATSC3Z,0.7462463225586723,0.7462463225586723
AATSC4Z,-1.9836309079139571,1.9836309079139571
AATSC5Z,-1.5313337313676156,1.5313337313676156
AATSC0m,0.49976293754317347,0.49976293754317347
AATSC1m,-2.647658528519515,2.647658528519515
AATSC2m,0.2850159050027663,0.2850159050027663
AATSC3m,1.1521239606504057,1.1521239606504057
AATSC4m,-2.503908958440595,2.503908958440595
AATSC5m,-1.78070994460886,1.78070994460886
AATSC0v,-1.286266657452404,1.286266657452404
AATSC1v,0.24135348997845618,0.24135348997845618
AATSC2v,0.5312451629019268,0.5312451629019268
AATSC3v,-0.7601635137245536,0.7601635137245536
AATSC4v,0.6662225634461292,0.6662225634461292
AATSC5v,0.9670196502310587,0.9670196502310587
AATSC0se,2.1663144983550335,2.1663144983550335
AATSC1se,0.6496442282501298,0.6496442282501298
AATSC2se,-0.5482520609756607,0.5482520609756607
AATSC3se,0.9377010029892517,0.9377010029892517
AATSC4se,2.841505555794234,2.841505555794234
AATSC5se,-1.725916941013642,1.725916941013642
AATSC0pe,1.490253126098239,1.490253126098239
AATSC1pe,0.02389802385584514,0.02389802385584514
AATSC2pe,0.9824361042940737,0.9824361042940737
AATSC3pe,0.25890753154972945,0.25890753154972945
AATSC4pe,-0.034850402660127865,0.034850402660127865
AATSC5pe,-0.921544812433044,0.921544812433044
AATSC0are,1.1764301054035855,1.1764301054035855
AATSC1are,0.068396513857427,0.068396513857427
AATSC2are,-0.041312788735454645,0.041312788735454645
AATSC3are,0.9472974547150246,0.9472974547150246
AATSC4are,0.5086141180260724,0.5086141180260724
AATSC5are,-0.49596672048833595,0.49596672048833595
AATSC0p,-0.21860629983414737,0.21860629983414737
AATSC1p,-0.6288575619284364,0.6288575619284364
AATSC2p,-1.0831364079175114,1.0831364079175114
AATSC3p,-0.11154920619528551,0.11154920619528551
AATSC4p,0.8190742759753924,0.8190742759753924
AATSC5p,0.40228414767953985,0.40228414767953985
AATSC0i,-0.9798073350963404,0.9798073350963404
AATSC1i,0.6354662960115303,0.6354662960115303
AATSC2i,2.02715200533432,2.02715200533432
AATSC3i,-1.7706248448184865,1.7706248448184865
AATSC4i,0.22433960639402353,0.22433960639402353
AATSC5i,0.1179776516917202,0.1179776516917202
MATS1c,0.015912464885293482,0.015912464885293482
MATS2c,-0.9485474272950633,0.9485474272950633
MATS3c,-2.987324085208878,2.987324085208878
MATS4c,-2.277532595402695,2.277532595402695
MATS5c,6.259542987512436,6.259542987512436
MATS1dv,-0.03601401254074466,0.03601401254074466
MATS2dv,1.0079478126251014,1.0079478126251014
MATS3dv,2.1625725320473843,2.1625725320473843
MATS4dv,0.6764891204131662,0.6764891204131662
MATS5dv,-0.6256813497575989,0.6256813497575989
MATS1d,-0.9280081566505752,0.9280081566505752
MATS2d,-1.1543089981942112,1.1543089981942112
MATS3d,2.9377143336333664,2.9377143336333664
MATS4d,-1.998550764827747,1.998550764827747
MATS5d,1.8254251844748015,1.8254251844748015
MATS1Z,-0.36431073908670625,0.36431073908670625
MATS2Z,1.6139170245985766,1.6139170245985766
MATS3Z,-1.6572402077011872,1.6572402077011872
MATS4Z,-0.7122751697003099,0.7122751697003099
MATS5Z,1.8507965422153807,1.8507965422153807
MATS1m,-0.4776658853713214,0.4776658853713214
MATS2m,1.8833065518689274,1.8833065518689274
MATS3m,-1.7112920375953655,1.7112920375953655
MATS4m,-0.8853649358966459,0.8853649358966459
MATS5m,1.9052353931852253,1.9052353931852253
MATS1v,1.4484249982477864,1.4484249982477864
MATS2v,1.6183118934257503,1.6183118934257503
MATS3v,-1.01731961554899,1.01731961554899
MATS4v,-0.2902538849761038,0.2902538849761038
MATS5v,-0.2443272426496202,0.2443272426496202
MATS1se,-1.0953943754769337,1.0953943754769337
MATS2se,1.067253007947211,1.067253007947211
MATS3se,0.5768703293138685,0.5768703293138685
MATS4se,-0.25929800794066465,0.25929800794066465
MATS5se,1.062245179165322,1.062245179165322
MATS1pe,-1.0021075916321183,1.0021075916321183
MATS2pe,1.199531737729667,1.199531737729667
MATS3pe,0.15231608121605086,0.15231608121605086
MATS4pe,0.3959047164334824,0.3959047164334824
MATS5pe,2.295661671847601,2.295661671847601
MATS1are,-0.9196666445368967,0.9196666445368967
MATS2are,1.7649848543754623,1.7649848543754623
MATS3are,0.3943419156882639,0.3943419156882639
MATS4are,-1.3102552589922052,1.3102552589922052
MATS5are,2.447178067163789,2.447178067163789
MATS1p,0.8929593683003093,0.8929593683003093
MATS2p,-0.6183580494766853,0.6183580494766853
MATS3p,2.252162963242887,2.252162963242887
MATS4p,2.3197051748362196,2.3197051748362196
MATS5p,1.350095602164849,1.350095602164849
MATS1i,1.5858186308873747,1.5858186308873747
MATS2i,1.532037496694204,1.532037496694204
MATS3i,-2.031079090563196,2.031079090563196
