Compound,Chemical Name,sigma,tau,SP3 (LIN),SP3 (BR),SP2,ROT,Ring,V_m (nm3),1/V_m,r_m (nm),T_m (K),T_m range (K),Eccentricity(Ear),Eccentricity(Eal),T_m Source,Link for V_m,,,,,,,
," 6,6,9-Trimethyl-3-pentyl-1H-benzo(c)chromene-1,4(6H)-dione ",1,4.5,4,0,0,,1,0.45393,2.202982839,,354.5,81-82C,10,4,1217432,,,,,,,,
,"2,5-Dichloro-3,6-dicyano-1,4-benzoquinone",3,0.5,0,0,0,,1,0.21709,4.606384449,,482,,6,1,1219215,,,,,,,,
,"(E,E)-2,5-bis(2-Ethoxycarbonylethenyl)-1,4-benzoquinone",2,7.5,4,0,6,,1,0.3790975,2.637843826,,436,,6,1,123008,,,,,,,,
,"2-Methoxy-estra-2,5(10)dien-1,4,17-trione",1,1.5,1,0,0,,1,0.411275,2.431463133,,496,,5,12,1224940,,,,,,,,
,"2,5-bis(Trifluoromethyl)-1,4-benzoquinone",2,0.5,0,0,0,,1,0.214655,4.65863828,,396.5,123-124C,6,1,100695,,,,,,,,
,"6-Phenylthiobenzocycloheptene-1,4,7-trione",1,2,1,0,0,,2,0.338965,2.950157096,,452.5,,17,1,1230665,,,,,,,,
,"6,8-Dibenzylbenzocycloheptene-1,4,7-trione",2,3.5,2,0,0,,3,0.4677575,2.137859895,,407.25,133.5-135C,23,1,1234751,,,,,,,,
,"6,8-Diphenoxybenzocycloheptene-1,4,7-trione",2,3.5,2,0,0,,3,0.44213,2.26177821,,491.5,218-219C,23,1,1234752,,,,,,,,
,"2,3-Dibromo-6,8-dibenzylbenzocycloheptene-1,4,7-trione",2,3.5,2,0,0,,3,0.53339,1.874800802,,403,129-131C,23,1,1234753,,,,,,,,
,"bis(5-t-Butyl-1,4-benzoquinon-2-yl)acetylene",2,3,0,2,0,,2,0.47345,2.112155455,,474.5,200-203C,12,1,718053,,,,,,,,
,"bis(5-t-Butyl-1,4-benzoquinon-2-yl)buta-1,3-diyne",2,3,0,2,0,,2,0.509325,1.963382909,,573,,12,1,718054,,,,,,,,
,"6-Chloro-3,5-dimethyl-2-(((2,2,2-trifluoroacetyl)amino)methyl)-2,5-cyclohexadiene-1,4-dione",1,3,2,0,1,,1,0.30702,3.2571168,,382.5,109-110C,6,1,253437,,,,,,,,
,"2,6-Dibenzoyl-1,4-benzoquinone",2,2.5,0,0,2,,3,0.39094875,2.557880029,,436,,18,1,129292,,,,,,,,
,"1,4,9,10-Tetrahydro-2,3-dimethyl-9,10-(o-benzeno)anthracene-1,4-dione",2,0.5,0,0,0,,1,0.3904425,2.561196591,,534,,15,5,100319,,,,,,,,
,"9,10-Dihydro-2,3-dimethoxy-9,10-(o-benzeno)anthracene-1,4-dione",2,2.5,2,0,0,,1,0.410165,2.438043227,,511,,15,5,114682,,,,,,,,
,"9,10-Dihydro-2-methyl-9,10-(o-benzeno)anthracene-1,4-dione",1,1.5,0,0,0,,1,0.368775,2.711680564,,525.5,525-526,15,5,114683,,,,,,,,
,"2-Cyclohexyl-9,10-dihydro-9,10-(o-benzeno)anthracene-1,4-dione ",1,1,0,0,0,,2,0.4889875,2.045042051,,443.5,443-444,15,11,114685,,,,,,,,
,"2-(2-(3-Methylphenyl)ethenyl)-(1,4)-benzoquinone",1,2,0,0,2,,2,0.289075,3.459309868,,383.5,,12,1,122973,,,,,,,,
,"2-(2-(2,5-Dimethylphenyl)ethenyl)-(1,4)-benzoquinone",1,2,0,0,2,,2,0.30871625,3.239220482,,356,79-87C,12,1,122974,,,,,,,,
,"2-(2-(3,4-Dimethylphenyl)ethenyl)-(1,4)-benzoquinone",1,2,0,0,2,,2,0.30347,3.295218638,,416.5,142-145C,12,1,122975,,,,,,,,
