Compound,Hm(kJ/mol),Hm (J/mol),,MW,V_m (nm3),1/Vm,(1/Vm)/10,1/(Vm^2),1/Hm,sigma,tau,Eccentricity(Ear),Eccentricity(Eal),T_m (K),,,
Propylcyclohexane,10.37,10370,158.99,126.24,0.2640152773,3.787659601,,14.34636525,0.09643201543,1,0,1,6,178.3,1.893829801,0.5470846,2.751574482
Butylcyclopentane,11.31,11310,160.82,126.24,0.2670541348,3.744559134,,14.02172311,0.0884173298,1,2.5,1,5,165.2,3.122279567,0.5515689,3.401329078
"2,2,4,4-Tetramethylpentane",9.75,9750,178.39,128.25,0.2962304882,3.375749762,,11.39568645,0.1025641026,2,2,1,1,206.5,2.687874881,0.5560532,2.993254733
"2,2,4-Trimethylhexane",11,11000,179.13,128.25,0.2974593158,3.361804276,,11.30172799,0.09090909091,1,3,1,1,153,3.180902138,0.5605375,3.260401844
"2,3,5-Trimethylhexane",10,10000,177.65,128.25,0.2950016606,3.389811427,,11.49082151,0.1,1,3,1,1,145.1,3.194905713,0.5650218,3.27968545
"2,4,4-Trimethylhexane",11.3,11300,177.15,128.25,0.2941713716,3.399379057,,11.55577798,0.08849557522,1,3,1,1,159.6,3.199689529,0.5695061,3.285654653
"2,4-Dimethylheptane",12,12000,179.38,128.25,0.2978744603,3.357118965,,11.27024775,0.08333333333,1,4,1,1,160,3.678559483,0.5739904,3.541622736
"2,2-Dimethyl-3-ethylpentane",10.2,10200,175.7,128.25,0.2917635337,3.427433125,,11.74729782,0.09803921569,2,3,1,1,173.7,3.213716562,0.5784747,3.3038035
"2,2,3-Trimethylhexane",10.3,10300,175.7,128.25,0.2917635337,3.427433125,,11.74729782,0.09708737864,1,3,1,1,153.16,3.213716562,0.582959,3.302845131
"4,4-Dimethylheptane",10.1,10100,176.67,128.25,0.2933742943,3.408614932,,11.61865575,0.09900990099,2,4,1,1,170.26,3.704307466,0.5874433,3.58231753
"2,6-Dimethylheptane",13,13000,180.9,128.25,0.3003985387,3.328911001,,11.08164845,0.07692307692,2,4,1,1,170.1,3.6644555,0.5919276,3.527529051
"3,5-Dimethylheptane",13,13000,177.4,128.25,0.2945865161,3.394588501,,11.52323109,0.07692307692,2,4,1,1,170.26,3.69729425,0.5964119,3.575125812
"2,5-Dimethylheptane",12,12000,178.88,128.25,0.2970441714,3.366502683,,11.33334032,0.08333333333,1,4,1,1,160.16,3.683251342,0.6008962,3.556835749
"2,4-Dimethyl-3-ethylpentane",7.2,7200,173.79,128.25,0.28859183,3.465101559,,12.00692882,0.1388888889,1,3,1,1,150.6,3.23255078,0.6053805,3.324319852
"2,3,3-Trimethylhexane",9.1,9100,173.79,128.25,0.28859183,3.465101559,,12.00692882,0.1098901099,1,3,1,1,156.2,3.23255078,0.6098648,3.323277025
"2,3,4-Trimethylhexane",10.7,10700,173.56,128.25,0.288209897,3.469693478,,12.03877283,0.09345794393,1,3,1,1,156.36,3.234846739,0.6143491,3.325415595
"2,2,3,3-Tetramethylpentane",9.66,9660,169.43,128.25,0.2813517104,3.5542702,,12.63283666,0.1035196687,1,2,1,1,263.2,2.7771351,0.6188334,3.073353044
3-Methyl-4-ethylhexane,12.3,12300,173.32,128.25,0.2878113584,3.474498038,,12.07213662,0.08130081301,1,4,1,1,160.16,3.737249019,0.6233177,3.638275375
"3,3,4-Trimethylhexane",8.1,8100,172.16,128.25,0.285885088,3.497908922,,12.23536683,0.1234567901,1,3,1,1,171.8,3.248954461,0.627802,3.341614813
"2,3-Dimethylheptane",14,14000,176.67,128.25,0.2933742943,3.408614932,,11.61865575,0.07142857143,1,4,1,1,157,3.704307466,0.6322863,3.59557727
"3,4-Dimethylheptane",13,13000,175.46,128.25,0.291364995,3.432121281,,11.77945649,0.07692307692,1,4,1,1,170,3.716060641,0.6367706,3.612925517
4-Ethylheptane,15,15000,176.18,128.25,0.2925606111,3.41809513,,11.68337432,0.06666666667,1,5,1,1,159.96,4.209047565,0.6412549,3.925297255
4-Methyloctane,16,16000,178.14,128.25,0.2958153437,3.380487257,,11.4276941,0.0625,1,5,1,1,159.9,4.190243629,0.6457392,3.903378689
2-Methyloctane,18,18000,179.89,128.25,0.298721355,3.347601312,,11.20643454,0.05555555556,1,5,1,1,192.7,4.173800656,0.6502235,3.884815541
3-Methyloctane,17,17000,177.89,128.25,0.2954001993,3.385238068,,11.45983678,0.05882352941,1,5,1,1,165.4,4.192619034,0.6547078,3.913836684
"3,3-Diethylpentane",11.38,11380,170.11,128.25,0.2824809034,3.540062313,,12.53204118,0.08787346221,2,4,1,1,240.1,3.770031156,0.6591921,3.691655958
n-Nonane,21.75,21750,177.72,128.25,0.295117901,3.388476255,,11.48177133,0.04597701149,2,6,1,1,219.5,4.694238127,0.6636764,4.255079594
Indene,10.2,10200,117.1,,0.1944536699,5.142613151,,26.44647002,0.09803921569,1,0,5,4,271.7,2.571306576,0.6681607,3.42456715
"1,2,3,4-Tetrahydronaphthalene",12.45,12450,135.88,,0.2256393225,4.431851634,,19.6413089,0.08032128514,2,0,5,5,237.3,2.215925817,0.672645,2.941320213
"1,2,3,5-Tetramethylbenzene",12.93,12930,150.64,,0.250149452,3.997610196,,15.98088728,0.07733952049,1,0,6,1,249.3,1.998805098,0.6771293,2.644160699
tert-Butylbenzene,8.4,8400,154.81,,0.2570740618,3.889929591,,15.13155222,0.119047619,1,0.5,6,1,215.2,2.194964796,0.6816136,2.734618535
Isobutylbenzene,12.51,12510,157.35,,0.2612919296,3.827136956,,14.64697728,0.07993605116,1,0.5,6,1,221.6,2.163568478,0.6860979,2.685766117
(dl)-sec-Butylbenzene,9.83,9830,155.71,,0.2585685819,3.867445893,,14.95713774,0.1017293998,1,1.5,6,1,198,2.683722947,0.6905822,3.049987896
4-Isopropyltoluene,9.67,9670,156.07,,0.2591663899,3.858525021,,14.88821534,0.1034126163,1,0.5,6,1,204.2,2.17926251,0.6950665,2.691325905
