,InChI Key,SMILES,Molecular Weight,H Bond Donors,H Bond Acceptors,Rotatable Bonds,TPSA,Lipinski Number,Veber Number,LogP,Type of Substance,mp_mean,mp_std
295,CSTDHCRRBIRGEL-UHFFFAOYSA-N,CCCNC1=C(C)C(=O)C(C)=CC1=O,193.246,1.0,3.0,3.0,46.17,4.0,2.0,1.315,,81.0,
302,CUDOHTROKYTDBF-UHFFFAOYSA-N,OCC1=COC2=C1C(=O)C=CC2=O,178.144,1.0,3.0,1.0,67.51,4.0,2.0,-0.488,heterocyclic,101.0,
304,CUOBAGCJXFVVNG-UHFFFAOYSA-N,CC1=CC=CC2=C1C(=O)C(O)=CC2=O,188.183,1.0,3.0,0.0,54.37,4.0,2.0,2.225,isocyclic,175.8,0.4
307,CVYFUEQQCRHJFB-UHFFFAOYSA-N,CC1=CC(=O)C(OC2=CC=CC=C2)=CC1=O,214.221,0.0,2.0,2.0,43.37,4.0,2.0,1.759,isocyclic,120.5,
316,CXPXQVYKLNHBNI-UHFFFAOYSA-N,CN1N=CC2=C1C(=O)C1=CC=CC=C1C2=O,212.208,0.0,4.0,0.0,51.96,4.0,2.0,1.924,heterocyclic,180.33333333333334,0.9428090415820634
322,CYCRZLRIJWDWCM-UHFFFAOYSA-N,NC1=CC(=O)C2=C(C=CC=C2)C1=O,173.171,1.0,3.0,0.0,60.16,4.0,2.0,1.3769999999999998,isocyclic,205.68333333333334,2.1955763606751546
325,CYPMFRRWVCHXHA-UHFFFAOYSA-N,CC1=CC(=O)C=C(NC2=NC=CC=N2)C1=O,215.211,1.0,5.0,2.0,71.95,4.0,2.0,0.354,,168.0,
328,CZAXDSZOMDDNMV-UHFFFAOYSA-N,NC1=CC(=O)C2=C(N=C(Cl)C=C2)C1=O,208.604,1.0,4.0,0.0,73.05,4.0,2.0,0.925,,279.5,
329,CZDZCBJHYRYBJG-UHFFFAOYSA-N,FC1=C(F)C(=O)C2=C(CCCC2)C1=O,198.169,0.0,2.0,0.0,34.14,4.0,2.0,0.954,isocyclic,125.5,
331,CZPRGFIWASERGY-UHFFFAOYSA-N,O=C1C=C(NC2CC2)C(=O)C2=C1C=CC=C2,213.236,1.0,3.0,2.0,46.17,4.0,2.0,2.383,,134.0,
332,DAADFRVSGSAOJZ-UHFFFAOYSA-N,CC1=C2C(=O)C(C)=C(C)C(=O)C2=CC=C1,200.237,0.0,2.0,0.0,34.14,4.0,2.0,2.239,isocyclic,128.0,
334,DBASGMQHWYDUOS-UHFFFAOYSA-N,COC1=C(C)C=CC2=C1C(=O)C=CC2=O,202.21,0.0,2.0,1.0,43.37,4.0,2.0,1.581,isocyclic,128.0,
335,DBDLTJRCKGCKSK-UHFFFAOYSA-N,COC1=CC=CC2=C1C(=O)C=CC2=O,188.183,0.0,2.0,1.0,43.37,4.0,2.0,1.355,isocyclic,184.5275,2.5674634856215572
337,DBVBYERKGJYIGR-SNAWJCMRSA-N,COC1=CC(=O)C(/C=C/C)=C(OC)C1=O,208.21400000000003,0.0,4.0,3.0,52.6,4.0,2.0,1.42,isocyclic,84.0,
339,DBXJNDPBEPAUPO-UHFFFAOYSA-N,CC1=CC2=C(C=C1C)C(=O)C(O)=CC2=O,202.21,1.0,3.0,0.0,54.37,4.0,2.0,2.662,isocyclic,175.625,4.435298749802543
342,DCZPBLXTAIMKOQ-UHFFFAOYSA-N,CC(=O)NC1=C(C)C(=O)C=C(C)C1=O,193.202,1.0,4.0,2.0,63.24,4.0,2.0,0.142,isocyclic,158.0,
344,DDPQLHOTRNIDCP-UHFFFAOYSA-N,O=CC1=CC(=O)C=CC1=O,136.107,0.0,3.0,1.0,51.21,4.0,2.0,-0.614,isocyclic,92.0,
346,DDSMIAGCLWYWPK-UHFFFAOYSA-N,O=C1C=CC(=O)C(=C1)C1=COC=C1,174.15599999999995,0.0,2.0,1.0,47.28,4.0,2.0,0.235,,110.0,
348,DDXYWFGBQZICBD-UHFFFAOYSA-N,CC(C)C1=CC(=O)C=C(C(C)C)C1=O,192.258,0.0,2.0,2.0,34.14,4.0,2.0,2.07,isocyclic,13.0,
351,DELDRXWHXWUGFD-UHFFFAOYSA-N,O=C1C=CC(=O)C2=C1C1CCC2C=C1,186.21,0.0,2.0,0.0,34.14,4.0,2.0,1.094,isocyclic,98.0,1.0801234497346435
355,DFAUCRRGILHLPG-UHFFFAOYSA-M,[O-]C(=O)C1=CC(=O)C=CC1=O,151.09799999999996,0.0,4.0,1.0,74.27,4.0,2.0,-1.176,,206.0,
356,DFAUCRRGILHLPG-UHFFFAOYSA-N,OC(=O)C1=CC(=O)C=CC1=O,152.106,1.0,4.0,1.0,71.44,4.0,2.0,-0.266,isocyclic,130.0,
357,DFHHICWDTCBHEX-UHFFFAOYSA-N,CCOC1=CC(=O)C=CC1=O,152.15,0.0,3.0,2.0,43.37,4.0,2.0,0.435,isocyclic,117.8,1.4352700094407322
